2025-10-01T20:30:48:  INFO  Accepting connections at http://localhost:3000
2025-10-01T20:30:58:  HTTP  10/1/2025 8:30:58 PM ::1 HEAD /
2025-10-01T20:30:58:  HTTP  10/1/2025 8:30:58 PM ::1 Returned 200 in 17 ms
2025-10-01T20:37:31:  HTTP  10/1/2025 8:37:31 PM ::1 GET /
2025-10-01T20:37:31:  HTTP  10/1/2025 8:37:31 PM ::1 Returned 200 in 2 ms
2025-10-01T20:39:55:  HTTP  10/1/2025 8:39:55 PM 127.0.0.1 HEAD /
2025-10-01T20:39:55:  HTTP  10/1/2025 8:39:55 PM 127.0.0.1 Returned 200 in 1 ms
2025-10-01T20:39:55:  HTTP  10/1/2025 8:39:55 PM ::1 HEAD /
2025-10-01T20:39:55:  HTTP  10/1/2025 8:39:55 PM ::1 Returned 200 in 1 ms
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM 127.0.0.1 GET /
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM 127.0.0.1 Returned 200 in 1 ms
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM ::1 GET /assets/index-kAAbbdin.js
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM ::1 Returned 200 in 4 ms
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM 127.0.0.1 GET /assets/react-vendor-C7_2p32o.js
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM 127.0.0.1 Returned 200 in 2 ms
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM 127.0.0.1 GET /assets/index-BUv0K0Zk.css
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM 127.0.0.1 Returned 200 in 2 ms
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM ::1 GET /assets/ui-vendor-CkcluCKQ.js
2025-10-01T20:40:17:  HTTP  10/1/2025 8:40:17 PM ::1 Returned 200 in 3 ms
2025-10-01T20:40:18:  HTTP  10/1/2025 8:40:18 PM 127.0.0.1 GET /assets/routes-CeyoVXsq.js
2025-10-01T20:40:18:  HTTP  10/1/2025 8:40:18 PM 127.0.0.1 Returned 200 in 3 ms
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM ::1 GET /assets/index-CBNhkRIq.js
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM ::1 GET /assets/clock-DyvZwz8O.js
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM 127.0.0.1 GET /assets/award-BRe2koBY.js
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM ::1 Returned 200 in 3 ms
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM ::1 Returned 200 in 3 ms
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM 127.0.0.1 Returned 200 in 3 ms
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM 127.0.0.1 GET /assets/trending-up-CZ8KrhPJ.js
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM 127.0.0.1 Returned 200 in 1 ms
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM ::1 GET /assets/star-DqtNGJFm.js
2025-10-01T20:40:19:  HTTP  10/1/2025 8:40:19 PM ::1 GET /assets/arrow-right-D0Hkz0F7.js
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:19 PM ::1 Returned 200 in 2 ms
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:19 PM ::1 Returned 200 in 1 ms
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM 127.0.0.1 GET /assets/play-C27tyCzn.js
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM 127.0.0.1 Returned 200 in 2 ms
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM ::1 GET /logo.png
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM ::1 Returned 200 in 2 ms
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM 127.0.0.1 GET /assets/hero-illustration-BPT3oNZL.jpg
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM 127.0.0.1 Returned 200 in 1 ms
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM 127.0.0.1 GET /assets/course-design-C8v7DmET.jpg
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM 127.0.0.1 Returned 200 in 2 ms
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM ::1 GET /assets/course-marketing-r6YVrMRD.jpg
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM ::1 Returned 200 in 3 ms
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM 127.0.0.1 GET /assets/course-programming-CIu41lZU.jpg
2025-10-01T20:40:20:  HTTP  10/1/2025 8:40:20 PM 127.0.0.1 Returned 200 in 2 ms
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM ::1 GET /assets/login-tBTjVf9-.js
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM ::1 GET /assets/arrow-left-igbmiTan.js
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM 127.0.0.1 GET /assets/card-BTyHLuru.js
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM ::1 Returned 200 in 3 ms
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM ::1 GET /assets/input-BhAiCFLW.js
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM ::1 Returned 200 in 3 ms
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM 127.0.0.1 GET /assets/lock-CcbRa_8N.js
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM 127.0.0.1 Returned 200 in 5 ms
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM ::1 Returned 200 in 4 ms
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM 127.0.0.1 Returned 200 in 3 ms
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM 127.0.0.1 GET /assets/eye-off-qFWLR8aa.js
2025-10-01T20:40:28:  HTTP  10/1/2025 8:40:28 PM 127.0.0.1 Returned 200 in 2 ms
